1180 1 3 0 5650 -122 0 7 1180 1340 0 0 1 5650 3 98178 47 1955
2170 2 3 400 7639 -122 1991 7 2570 1690 0 0 2 7242 3 98125 47 1951
770 1 3 0 8062 -122 0 6 770 2720 0 0 1 10000 2 98028 47 1933
1050 3 5 910 5000 -122 0 7 1960 1360 0 0 1 5000 4 98136 47 1965
1680 2 3 0 7503 -122 0 8 1680 1800 0 0 1 8080 3 98074 47 1987
3890 4 3 1530 101930 -122 0 11 5420 4760 0 0 1 101930 4 98053 47 2001
1715 2 3 0 6819 -122 0 7 1715 2238 0 0 2 6819 3 98003 47 1995
1060 1 3 0 9711 -122 0 7 1060 1650 0 0 1 9711 3 98198 47 1963
1050 1 3 730 8113 -122 0 7 1780 1780 0 0 1 7470 3 98146 47 1960
1890 2 3 0 7570 -122 0 7 1890 2390 0 0 2 6560 3 98038 47 2003
1860 2 3 1700 8925 -122 0 8 3560 2210 0 0 1 9796 3 98007 47 1965
860 1 4 300 6000 -122 0 7 1160 1330 0 0 1 6000 2 98115 47 1942
1430 1 4 0 12697 -122 0 7 1430 1780 0 0 1 19901 3 98028 47 1927
1370 1 4 0 10208 -122 0 7 1370 1370 0 0 1 9680 3 98074 47 1977
1810 2 3 0 4850 -122 0 7 1810 1360 0 0 1 4850 5 98107 47 1900
1980 3 3 970 4000 -122 0 9 2950 2140 0 3 2 5000 4 98126 47 1979
1890 2 3 0 14018 -121 0 7 1890 1890 0 0 2 14040 3 98019 47 1994
1600 1 4 0 4300 -122 0 7 1600 1610 0 0 1 4300 4 98103 47 1916
1200 1 4 0 5095 -122 0 7 1200 1060 0 0 1 9850 2 98002 47 1921
1250 1 4 0 8850 -122 0 7 1250 1280 0 0 1 9774 3 98003 47 1969
860 1 4 760 4980 -122 0 7 1620 1400 0 0 1 4980 4 98133 47 1947
2330 2 3 720 20336 -122 0 9 3050 4110 0 4 1 44867 3 98040 47 1968
2270 2 3 0 7005 -122 0 8 2270 2240 0 0 2 6300 5 98092 47 1995
1070 1 3 0 8386 -122 0 7 1070 1220 0 0 1 9643 2 98030 47 1985
2450 2 4 0 6865 -122 0 8 2450 2200 0 0 2 6500 3 98030 47 1985
1710 2 5 0 4705 -122 0 6 1710 1030 0 0 1 4697 3 98002 47 1941
1750 1 3 700 3573 -122 0 8 2450 1760 0 0 2 2691 3 98119 47 1915
1400 1 5 0 3861 -122 0 8 1400 1860 0 0 1 1581 3 98112 47 1909
790 1 3 730 6235 -122 0 7 1520 1520 0 0 1 6380 3 98115 47 1948
2570 2 3 0 6026 -122 0 8 2570 2630 0 0 2 7173 4 98052 47 2005
2320 2 3 0 3980 -122 0 8 2320 2580 0 0 2 3980 3 98027 47 2003
1190 1 3 0 1756 -122 0 7 1190 1390 0 0 3 1265 2 98133 47 2005
1510 1 4 820 5000 -122 0 7 2330 1460 0 0 1 5000 4 98117 47 1929
1090 1 4 0 5080 -122 0 8 1090 1570 0 0 1 3000 3 98117 47 1929
1280 2 3 780 8720 -122 0 7 2060 2020 0 0 1 6659 4 98058 47 1981
1510 2 3 790 3264 -122 2002 8 2300 1590 0 0 1 3060 3 98115 47 1930
