3 2 2010 4320 2 0 2 3 9 2010 0 1999 0 98118 47 -122 1640 5225
3 2 1840 6214 1 0 0 4 7 1270 570 1983 0 98031 47 -122 1840 6214
5 2 2550 7725 1 0 0 5 8 1390 1160 1967 0 98056 47 -122 2450 7725
4 2 2470 7698 2 0 0 3 8 2470 0 1983 0 98058 47 -122 2330 7986
5 1 2550 4623 2 0 0 4 9 2550 0 1905 0 98122 47 -122 1570 3875
4 2 3020 36893 2 0 0 3 9 3020 0 1986 2007 98077 47 -122 3020 36444
4 1 1500 8400 1 0 0 3 7 1200 300 1956 0 98188 47 -122 1780 9913
3 4 3300 308080 2 0 2 4 9 2520 780 1976 0 98070 47 -122 2130 90604
5 3 2860 20790 1 0 0 4 7 1800 1060 1965 0 98155 47 -122 1920 9612
4 2 2450 5376 1 0 0 4 7 1550 900 1920 0 98117 47 -122 1920 5264
3 1 1200 6628 1 0 0 4 7 1200 0 1952 0 98155 47 -122 1330 6768
3 2 1330 1042 2 0 0 3 8 1060 270 2014 0 98136 47 -122 1440 2428
2 2 1360 2070 2 0 0 3 8 1360 0 1999 0 98102 47 -122 1920 2092
4 1 2120 7680 1 0 0 4 7 1060 1060 1950 0 98177 47 -122 1530 7680
4 4 6330 13296 2 0 2 3 13 4900 1430 2000 0 98033 47 -122 2200 9196
3 2 2440 5750 2 0 2 3 9 1980 460 2000 0 98116 47 -122 1520 5750
2 1 1010 14244 1 1 4 1 5 1010 0 1926 0 98136 47 -122 1820 15792
3 1 1650 12349 1 0 0 3 7 1650 0 1957 0 98188 47 -122 1470 10763
4 4 5635 9695 2 0 3 3 10 4360 1275 2011 0 98003 47 -122 3726 9765
4 2 2430 5000 2 0 0 3 7 2430 0 2009 0 98065 47 -121 2430 5441
3 2 1710 21485 2 0 0 3 7 1710 0 1989 0 98074 47 -122 1680 21485
4 2 3570 6054 2 0 0 3 9 3570 0 2014 0 98052 47 -122 3600 6050
2 2 1278 987 2 0 0 3 7 1002 276 2007 0 98136 47 -122 1220 1287
4 2 2620 11200 1 0 0 4 8 1770 850 1962 0 98004 47 -122 2360 11200
3 1 1180 7000 1 0 0 4 7 1180 0 1977 0 98023 47 -122 1630 7500
4 2 2510 8580 2 0 0 4 8 2510 0 1991 2012 98023 47 -122 2290 7809
3 2 1420 1230 2 0 0 3 8 940 480 2009 0 98144 47 -122 1400 1230
3 2 1720 7950 1 0 0 4 7 1720 0 1972 0 98034 47 -122 1790 7030
3 3 1860 2218 3 0 0 3 8 1860 0 2001 0 98125 47 -122 1860 2218
2 2 2720 16637 1 0 3 3 10 2160 560 1953 0 98118 47 -122 2880 7320
4 3 2940 7108 2 0 1 3 9 2220 720 2011 0 98136 47 -122 2240 7950
3 0 1240 7200 1 0 0 3 7 1240 0 1947 0 98133 47 -122 1210 7200
3 2 3290 5000 2 0 0 3 9 2730 560 1939 0 98105 47 -122 2340 4000
3 2 1820 5000 1 0 0 4 8 1720 100 1941 0 98116 47 -122 2220 7200
3 2 2880 13500 1 0 4 5 8 1520 1360 1950 0 98004 47 -122 3710 20486
4 3 3065 5440 3 0 0 3 9 3065 0 2014 0 98056 47 -122 2210 8400
3 1 1600 7711 1 0 0 3 7 1600 0 1999 0 98002 47 -122 2100 7711
5 2 2990 7420 2 0 0 3 8 2990 0 1996 0 98059 47 -122 2290 7678
2 1 1840 3300 1 0 0 4 6 1130 710 1910 0 98107 47 -122 1320 4000
3 1 1590 41550 1 0 0 3 6 1290 300 1933 1989 98168 47 -122 2990 6464
3 2 2360 4670 2 0 0 3 7 2360 0 1998 0 98065 47 -121 2420 5620
